event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol,source_url
2018-10-18T09:00:00-04:00,United States,Fed Bullard Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-18T10:00:00-04:00,United States,Cb Leading Index Mom,calendar,SEP,0.5%,0.4%,0.5%,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-18T10:30:00-04:00,United States,EIA Natural Gas Stocks Change,natural gas stocks change,OCT/12,81Bcf,90Bcf,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-18T12:15:00-04:00,United States,Fed Quarles Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-19T09:00:00-04:00,United States,Fed Kaplan Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-19T10:00:00-04:00,United States,Existing Home Sales,existing home sales,SEP,5.15M,5.33M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-19T10:00:00-04:00,United States,Existing Home Sales MoM,existing home sales mom,SEP,-3.4%,-0.2%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-19T12:00:00-04:00,United States,Fed Bostic Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-19T13:00:00-04:00,United States,Baker Hughes Oil Rig Count,crude oil rigs,OCT/19,873,869,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-20T11:30:00-04:00,United States,Fed Bostic Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-22T08:30:00-04:00,United States,Chicago Fed National Activity Index,chicago fed national activity index,SEP,0.17,0.27,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-22T11:30:00-04:00,United States,3-Month Bill Auction,3 month bill yield,,2.300%,2.270%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-22T11:30:00-04:00,United States,6-Month Bill Auction,6 month bill yield,,2.425%,2.415%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-23T08:55:00-04:00,United States,Redbook MoM,redbook index,OCT/20,0%,0.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-23T08:55:00-04:00,United States,Redbook YoY,redbook index,OCT/20,5.5%,5.8%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-23T09:30:00-04:00,United States,Fed Kashkari Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-23T10:00:00-04:00,United States,Richmond Fed Manufacturing Index,richmond fed manufacturing index,OCT,15,29,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-23T11:30:00-04:00,United States,4-Week Bill Auction,4 week bill yield,,2.180%,2.155%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-23T13:00:00-04:00,United States,2-Year Note Auction,2 year note yield,,2.880%,2.829%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-23T13:30:00-04:00,United States,Fed Bostic Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-23T16:30:00-04:00,United States,API Crude Oil Stock Change,api crude oil stock change,OCT/19,9.88M,-2.1M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-23T18:15:00-04:00,United States,Fed Evans Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-24T07:00:00-04:00,United States,MBA 30-Year Mortgage Rate,mortgage rate,OCT/19,5.11%,5.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-24T07:00:00-04:00,United States,MBA Mortgage Applications,mortgage applications,OCT/19,4.9%,-7.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-24T09:00:00-04:00,United States,House Price Index MoM,house price index mom,AUG,0.3%,0.2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-24T09:45:00-04:00,United States,Markit Composite PMI Flash,composite pmi,OCT,54.8,53.9,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-24T09:45:00-04:00,United States,Markit Manufacturing PMI Flash,manufacturing pmi,OCT,55.9,55.6,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-24T09:45:00-04:00,United States,Markit Services PMI Flash,services pmi,OCT,54.7,53.5,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-24T10:00:00-04:00,United States,New Home Sales,new home sales,SEP,0.553M,0.585M,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-24T10:00:00-04:00,United States,New Home Sales MoM,new home sales mom,SEP,-5.5%,-3%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-24T10:30:00-04:00,United States,EIA Crude Oil Stocks Change,crude oil stocks change,OCT/19,6.346M,6.49M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-24T10:30:00-04:00,United States,EIA Gasoline Stocks Change,gasoline stocks change,OCT/19,-4.826M,-2.016M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-24T11:30:00-04:00,United States,Fed Bullard Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-24T12:30:00-04:00,United States,Fed Mester Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-24T13:00:00-04:00,United States,5-Year Note Auction,5 year note yield,,2.977%,2.997%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-24T14:00:00-04:00,United States,Fed Bostic Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-24T14:00:00-04:00,United States,Fed Beige Book,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-25T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,SEP,0.8%,4.6%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-25T08:30:00-04:00,United States,Durable Goods Orders Ex Transp MoM,durable goods orders ex transportation,SEP,0.1%,0.3%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-25T08:30:00-04:00,United States,Goods Trade Balance Adv,goods trade balance,SEP,$-76.04B,$-75.46B,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-25T08:30:00-04:00,United States,Initial Jobless Claims,initial jobless claims,OCT/20,215K,210K,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-25T08:30:00-04:00,United States,Wholesale Inventories MoM Adv,wholesale inventories,SEP,0.3%,0.9%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-25T08:30:00-04:00,United States,Continuing Jobless Claims,continuing jobless claims,OCT/13,1636K,1641K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-25T08:30:00-04:00,United States,Durable Goods Orders ex Defense MoM,durable goods orders ex defense,SEP,-0.6%,2.5%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-25T10:00:00-04:00,United States,Pending Home Sales MoM,pending home sales mom,SEP,0.5%,-1.9%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-25T10:00:00-04:00,United States,Pending Home Sales YoY,pending home sales,SEP,-1%,-2.4%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-25T10:30:00-04:00,United States,EIA Natural Gas Stocks Change,natural gas stocks change,OCT/19,58Bcf,81Bcf,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-25T11:00:00-04:00,United States,Kansas Fed Manufacturing Index,kansas fed manufacturing index,OCT,5.0,10.0,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-25T12:15:00-04:00,United States,Fed Clarida Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-25T13:00:00-04:00,United States,7-Year Note Auction,7 year note yield,,3.074%,3.034%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-25T17:30:00-04:00,United States,Fed Mester Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-25T21:00:00-04:00,United States,Fed Mester Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-26T08:30:00-04:00,United States,GDP Growth Rate QoQ Adv,gdp growth rate,Q3,3.5%,4.2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-26T08:30:00-04:00,United States,GDP Price Index QoQ Adv,gdp deflator,Q3,1.4%,3.3%,2.1%,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-26T08:30:00-04:00,United States,Core PCE Prices QoQ Adv,core pce prices qoq,Q3,1.6%,2.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-26T08:30:00-04:00,United States,PCE Prices QoQ Adv,pce prices qoq,Q3,1.6%,2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-26T10:00:00-04:00,United States,Michigan 5 Year Inflation Expectations Final,michigan 5 year inflation expectations,OCT,2.4%,2.5%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-26T10:00:00-04:00,United States,Michigan Consumer Expectations Final,michigan consumer expectations,OCT,89.3,89.1,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-26T10:00:00-04:00,United States,Michigan Consumer Sentiment Final,consumer confidence,OCT,98.6,100.1,99,99,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-26T10:00:00-04:00,United States,Michigan Current Conditions Final,michigan current economic conditions,OCT,113.1,114.4,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-26T10:00:00-04:00,United States,Michigan Inflation Expectations Final,michigan inflation expectations,OCT,2.9%,2.7%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-26T13:00:00-04:00,United States,Baker Hughes Oil Rig Count,crude oil rigs,OCT/26,875,873,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-29T08:30:00-04:00,United States,Personal Income MoM,personal income,SEP,0.2%,0.4%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-29T08:30:00-04:00,United States,Personal Spending MoM,personal spending,SEP,0.4%,0.5%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-29T08:30:00-04:00,United States,PCE Price Index MoM,pce price index monthly change,SEP,0.1%,0.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-29T08:30:00-04:00,United States,PCE Price Index YoY,pce price index annual change,SEP,2%,2.2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-29T08:30:00-04:00,United States,Core PCE Price Index MoM,core pce price index mom,SEP,0.2%,0%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-29T08:30:00-04:00,United States,Core PCE Price Index YoY,core pce price index annual change,SEP,2%,2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-29T09:45:00-04:00,United States,Fed Evans Speech,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-29T10:30:00-04:00,United States,Dallas Fed Manufacturing Index,dallas fed manufacturing index,OCT,29.4,28.1,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-29T11:30:00-04:00,United States,3-Month Bill Auction,3 month bill yield,,2.305%,2.300%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-29T11:30:00-04:00,United States,6-Month Bill Auction,6 month bill yield,,2.430%,2.425%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-30T08:55:00-04:00,United States,Redbook MoM,redbook index,OCT/27,0.1%,0%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-30T08:55:00-04:00,United States,Redbook YoY,redbook index,OCT/27,5.9%,5.5%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-30T09:00:00-04:00,United States,S&P/Case-Shiller Home Price MoM,case shiller home price index mom,AUG,0%,0.3%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-30T09:00:00-04:00,United States,S&P/Case-Shiller Home Price YoY,case shiller home price index yoy,AUG,5.5%,5.9%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-30T10:00:00-04:00,United States,Cb Consumer Confidence,calendar,OCT,137.9,135.3,136.0,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-30T11:30:00-04:00,United States,4-Week Bill Auction,4 week bill yield,,2.165%,2.18%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-30T16:30:00-04:00,United States,API Crude Oil Stock Change,api crude oil stock change,OCT/26,5.7M,9.88M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-31T07:00:00-04:00,United States,MBA 30-Year Mortgage Rate,mortgage rate,OCT/26,5.11%,5.11%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-31T07:00:00-04:00,United States,MBA Mortgage Applications,mortgage applications,OCT/26,-2.5%,4.9%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-31T08:15:00-04:00,United States,ADP Employment Change,adp employment change,OCT,227K,218K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-31T08:30:00-04:00,United States,Employment Cost - Benefits QoQ,employment cost index benefits,Q3,0.4%,0.9%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-31T08:30:00-04:00,United States,Employment Cost - Wages QoQ,employment cost index wages,Q3,0.9%,0.5%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-31T08:30:00-04:00,United States,Employment Cost Index QoQ,employment cost index,Q3,0.8%,0.6%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-31T09:50:00-04:00,United States,Chicago PMI,chicago pmi,OCT,58.4,60.4,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-31T10:30:00-04:00,United States,EIA Crude Oil Stocks Change,crude oil stocks change,OCT/26,3.217M,6.346M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
2018-10-31T10:30:00-04:00,United States,EIA Gasoline Stocks Change,gasoline stocks change,OCT/26,-3.161M,-4.826M,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-10-01&end=2018-11-01
